Good_with,Aatrox,Ahri,Akali,Akshan,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,AurelionSol,Azir,Bard,Belveth,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Draven,Ekko,Elise,Evelynn,Ezreal,FiddleSticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Gwen,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,KSante,Kaisa,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lillia,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,Milio,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nilah,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Pyke,Qiyana,Quinn,Rakan,Rammus,RekSai,Rell,Renata,Renekton,Rengar,Riven,Rumble,Ryze,Samira,Sejuani,Senna,Seraphine,Sett,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Sylas,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vex,Vi,Viego,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yone,Yorick,Yuumi,Zac,Zed,Zeri,Ziggs,Zilean,Zoe,Zyra,BelVeth,KhaZix,KaiSa,VelKoz
Darius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,
Diana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,6.7,,,,,6.4,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrMundo,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
Draven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,
Ekko,,,,5.3,,6.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise,,,,,,,,,,,,,,,,,,,,8.8,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelynn,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,3.7,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FiddleSticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,4.9,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,
Fizz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,6.3,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
Galio,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,7.6,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gangplank,,,,,,7.4,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,
Garen,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,6.7,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gragas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,6.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
Graves,,,,,,7.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,9.7,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwen,,,,,,6.5,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,
Hecarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heimerdinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,5.9,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illaoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,7.7,,,,,,,,,,,,,,,,
Irelia,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,
Janna,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,
